filename,path,dataset_source,columns_used,chart_type,purpose,status,notes
Q01_missing_values_heatbar.png,outputs\quality\Q01_missing_values_heatbar.png,specimen_linkage/high_confidence_dataset.csv,specimen_id|structure_type|infill_pattern|design_param_numeric|design_param_relative|replica_letter|length|thickness|width|transverse_area|compressive_strength|compressive_strength_mean|compressive_strength_std|n_readings|source_dataset|linkage_confidence|source_trace,barh_horizontal,¿Qué columnas tienen datos faltantes y en qué proporción?,generated,"Verde<20%, amarillo 20-80%, rojo>80%"
Q02_valid_obs_per_column.png,outputs\quality\Q02_valid_obs_per_column.png,specimen_linkage/high_confidence_dataset.csv,specimen_id|structure_type|infill_pattern|design_param_numeric|design_param_relative|replica_letter|compressive_strength|compressive_strength_mean|compressive_strength_std|n_readings|source_dataset|linkage_confidence,barplot,¿Cuántas observaciones válidas tiene cada columna?,generated,
Q03_linkage_confidence_distribution.png,outputs\quality\Q03_linkage_confidence_distribution.png,specimen_linkage/high_confidence_dataset.csv,linkage_confidence,bar+pie,¿Qué porcentaje del dataset tiene enlace probable vs exacto vs no resuelto?,generated,
Q04_specimens_by_source.png,outputs\quality\Q04_specimens_by_source.png,specimen_linkage/high_confidence_dataset.csv,source_dataset,barh_horizontal,¿De qué dataset provienen los especímenes y cuántos hay?,generated,
Q05_feature_completeness.png,outputs\quality\Q05_feature_completeness.png,specimen_linkage/high_confidence_dataset.csv,design_param_numeric|specimen_id|structure_type|infill_pattern|replica_letter|source_dataset|linkage_confidence|design_param_relative,barh_horizontal,¿Qué features tienen cobertura completa y cuáles son parciales?,generated,
T01_target_histogram_kde.png,outputs\targets\T01_target_histogram_kde.png,specimen_linkage/high_confidence_dataset.csv,compressive_strength,histogram+kde,¿Cómo se distribuye el target? ¿Está sesgado? ¿Tiene buena variabilidad?,generated,
T02_target_boxplot_ranges.png,outputs\targets\T02_target_boxplot_ranges.png,specimen_linkage/high_confidence_dataset.csv,compressive_strength,boxplot+barplot,¿Hay outliers? ¿Están bien cubiertos los rangos de resistencia?,generated,
T03_target_qqplot.png,outputs\targets\T03_target_qqplot.png,specimen_linkage/high_confidence_dataset.csv,compressive_strength,qqplot,¿El target sigue distribución normal? Relevante para elección de modelo.,generated,
T04_target_stats_summary.png,outputs\targets\T04_target_stats_summary.png,specimen_linkage/high_confidence_dataset.csv,compressive_strength,text_summary,Resumen estadístico completo del target en formato visual.,generated,
R01_numeric_features_vs_target.png,outputs\relationships\R01_numeric_features_vs_target.png,specimen_linkage/high_confidence_dataset.csv,compressive_strength|design_param_numeric|design_param_relative,scatter_grid,¿Qué features numéricas muestran señal visual frente al target? ¿Hay no linealidades?,generated,
R02_correlation_heatmap.png,outputs\relationships\R02_correlation_heatmap.png,specimen_linkage/high_confidence_dataset.csv,design_param_numeric|design_param_relative|length|thickness|width|transverse_area|compressive_strength,heatmap_correlation,¿Qué features están correlacionadas entre sí y con el target?,generated,Excluye columnas post-ensayo
R03_design_param_vs_target_by_structure.png,outputs\relationships\R03_design_param_vs_target_by_structure.png,specimen_linkage/high_confidence_dataset.csv,design_param_numeric|compressive_strength|structure_type,scatter_colored_by_category,¿Cómo varía compressive_strength con el parámetro de diseño dentro de cada familia estructural?,generated,
CST_boxplot_mean_by_structure_type.png,outputs\comparisons\CST_boxplot_mean_by_structure_type.png,specimen_linkage/high_confidence_dataset.csv,structure_type|compressive_strength,boxplot+barplot_mean_std,¿Difiere compressive_strength significativamente por structure_type?,generated,n_groups=3
CIN_boxplot_mean_by_infill_pattern.png,outputs\comparisons\CIN_boxplot_mean_by_infill_pattern.png,specimen_linkage/high_confidence_dataset.csv,infill_pattern|compressive_strength,boxplot+barplot_mean_std,¿Difiere compressive_strength significativamente por infill_pattern?,generated,n_groups=3
C03_target_by_structure_and_param.png,outputs\comparisons\C03_target_by_structure_and_param.png,specimen_linkage/high_confidence_dataset.csv,structure_type|design_param_numeric|compressive_strength,boxplot_grouped,¿Cómo interactúan tipo de estructura y parámetro de diseño en la resistencia?,generated,
C04_replica_variability_cv.png,outputs\comparisons\C04_replica_variability_cv.png,specimen_linkage/high_confidence_dataset.csv,replica_letter|structure_type|design_param_numeric|compressive_strength,barplot_cv,¿Cuánta variabilidad hay entre réplicas de un mismo diseño? ¿Son reproducibles?,generated,CV > 30% = alta variabilidad
L01_linkage_confidence_overview.png,outputs\linkage\L01_linkage_confidence_overview.png,specimen_linkage/high_confidence_dataset.csv,linkage_confidence,bar+pie,¿Qué porcentaje del dataset tiene linkage probable vs exacto vs no resuelto?,generated,
L02_specimen_feature_completeness_heatmap.png,outputs\linkage\L02_specimen_feature_completeness_heatmap.png,specimen_linkage/high_confidence_dataset.csv,specimen_id|structure_type|infill_pattern|design_param_numeric|design_param_relative|replica_letter|length|thickness|width|transverse_area|compressive_strength_mean|compressive_strength_std|n_readings,heatmap_binary,¿Qué features están disponibles para cada probeta? ¿Hay probetas con cobertura parcial?,generated,
L03_feature_availability_status.png,outputs\linkage\L03_feature_availability_status.png,specimen_linkage/high_confidence_dataset.csv,structure_type|infill_pattern|design_param_numeric|design_param_relative|replica_letter|material|layer_height|nozzle_temperature|print_speed|bed_temperature|cell_size_mm|wall_thickness_mm|strut_thickness_mm|print_orientation|length|thickness|width,status_barchart,"¿Cuáles son las features deseadas disponibles, cuáles están vacías y cuáles faltan por completo?",generated,
